Column1,activity_name,interest,rating,reviews,categories,address,location,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2471,Angels Flight Railway,Historical landmark,4.5,2575,"Historical landmark, Tourist attraction","Angels Flight Railway, 351 S Hill St, Los Angeles, CA 90013","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,11587.5,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2477,Autry Museum of the American West,Museum,4.6,1872,"Museum, Art museum, Event venue, History museum, Non-profit organization, Tourist attraction","Autry Museum of the American West, Griffith Park, 4700 Western Heritage Way, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,8611.2,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2476,Bradbury Building,Historical landmark,4.5,1934,"Historical landmark, Tourist attraction","Bradbury Building, 304 S Broadway, Los Angeles, CA 90013","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,8703,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2492,Bronson Caves,Tourist attraction,4.5,450,"Tourist attraction, Hiking area","Bronson Caves, 3200 Canyon Dr, Los Angeles, CA 90068","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,2025,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2487,Capitol Records Building,Historical landmark,4.6,913,"Historical landmark, Tourist attraction","Capitol Records Building, 1750 Vine St, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,4199.8,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2499,Crossroads of the World,Historical landmark,4.1,96,"Historical landmark, Tourist attraction","Crossroads of the World, 6671 Sunset Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,393.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2483,Fisherman's Village,Tourist attraction,4.4,1218,"Tourist attraction, Restaurant","Fisherman's Village, 13755 Fiji Way, Marina Del Rey, CA 90292","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,5359.2,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2474,GRAMMY Museum L.A. Live,Museum,4.4,2110,"Museum, Tourist attraction","GRAMMY Museum L.A. Live, 800 W Olympic Blvd, Los Angeles, CA 90015","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,9284,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2488,Grand Hope Park,Park,4.4,856,"Park, Tourist attraction","Grand Hope Park, 919 S Grand Ave, Los Angeles, CA 90015","Los-angeles, CA",Los-angeles,USA,CA,,Nature,3766.4,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2469,Greystone Mansion & Gardens: The Doheny Estate,Historical landmark,4.6,2777,"Historical landmark, Event venue, Park, Tourist attraction, Wedding venue","Greystone Mansion & Gardens: The Doheny Estate, 905 Loma Vista Dr, Beverly Hills, CA 90210","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,12774.2,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2458,Griffith Observatory,Observatory,4.7,13406,"Observatory, Planetarium, Science museum, Tourist attraction","Griffith Observatory, 2800 E Observatory Rd, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Nature,63008.2,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2454,Griffith Park,Park,4.7,66813,"Park, Recreation center, Tourist attraction","Griffith Park, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Nature,314021.1,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2484,Griffith Park & Southern Railroad,Amusement park,4.6,1188,"Amusement park, Amusement center, Tourist attraction","Griffith Park & Southern Railroad, 4400 Crystal Springs Dr, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,5464.8,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2489,Heritage Square Museum,Heritage museum,4.7,681,"Heritage museum, History museum, Museum, Tourist attraction","Heritage Square Museum, 3800 Homer St, Los Angeles, CA 90031","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,3200.7,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2490,Hollyhock House,Historical landmark,4.5,454,"Historical landmark, Historical place museum, Museum, Tourist attraction","Hollyhock House, 4800 Hollywood Blvd, Los Angeles, CA 90027","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,2043,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2501,Hollywood Bowl Museum,Museum,4.6,57,"Museum, Tourist attraction","Hollywood Bowl Museum, 2301 Highland Ave, Los Angeles, CA 90068","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,262.2,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2500,Hollywood Heritage Museum,Museum,4.5,91,"Museum, Tourist attraction","Hollywood Heritage Museum, 2100 Highland Ave, Los Angeles, CA 90068","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,409.5,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2460,Hollywood Sign,Historical landmark,4.6,10448,"Historical landmark, Tourist attraction","Hollywood Sign, Los Angeles, CA 90068","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,48060.8,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2462,Hollywood Walk of Fame,Tourist attraction,4.2,8161,Tourist attraction,"Hollywood Walk of Fame, 6901 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Entertainment,34276.2,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2466,Hollywood Wax Museum,Wax museum,4.4,4330,"Wax museum, Amusement park, Museum, Tourist attraction","Hollywood Wax Museum, 6767 Hollywood Blvd, Los Angeles, CA 90028","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,19052,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2479,Japanese American National Museum,Museum,4.7,1728,"Museum, Art museum, Ethnographic museum, Heritage museum, History museum, National museum, Tourist attraction","Japanese American National Museum, 100 N Central Ave, Los Angeles, CA 90012","Los-angeles, CA",Los-angeles,USA,CA,,Cultural,8121.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
